#  CREATED =
#  CONTACT = R. Diaz
#  DESCRIPT= Initial delivery of source model for a M8 Dwarf (Angst vs FLAM)
#  MAPKEY  = M8 Dwarf
#  FILE_TYP= M8 Dwarf (Gleise 752B) Source Model Spectrum (Angstroms vs erg/s/cm^2/A)
#  SYSTEMS = PYETC
#  REASON  = Initial delivery to ETC database
#  HISTORY
#  HISTORY  This file was part of the ETC 18.0 or earlier software. This file is
#  HISTORY  being delivered to CDBS for the purposes of quality control and to
#  HISTORY  address the future needs of ETC 19.0 (PYETC). The origin of the
#  HISOTRY  data is unknown; however, this file has been validated and found to
#  HISTORY  be representative of the spectra for a M8 Dwarf.
#
# wl/angst        synflam
#
      5626.15 2.6108300000E-19
       5636.3 3.0457600000E-19
      5646.45 3.0715800000E-19
       5656.6 3.0975400000E-19
      5666.75 3.1479000000E-19
       5676.9 3.3740000000E-19
      5687.05 3.8237600000E-19
       5697.2 3.9790800000E-19
      5707.35 3.9880700000E-19
       5717.5 3.9683800000E-19
      5727.65 4.0976000000E-19
       5737.8 4.1079300000E-19
      5747.95 4.2493000000E-19
       5758.1 4.0737600000E-19
      5768.25 4.1420800000E-19
       5778.4 4.4339200000E-19
      5788.55 5.0390600000E-19
      5798.71 5.3628400000E-19
      5808.86 4.2873400000E-19
      5819.01 4.2414400000E-19
      5829.16 4.1896600000E-19
      5839.31 3.6285800000E-19
      5849.46 3.1483700000E-19
      5859.61 2.6838200000E-19
      5869.76 2.3929800000E-19
      5879.91 2.1644200000E-19
      5890.06 2.1419800000E-19
      5900.21 2.1087200000E-19
      5910.36 2.0248100000E-19
      5920.51 2.1537000000E-19
      5930.66 2.0375100000E-19
      5940.81 2.6124400000E-19
      5950.96 2.7207800000E-19
      5961.11 2.7271700000E-19
      5971.26 2.5253500000E-19
      5981.41 2.4829100000E-19
      5991.56 2.9402700000E-19
      6001.72 2.5761100000E-19
      6011.87 3.0868800000E-19
      6022.02 3.0806400000E-19
      6032.17 3.4603400000E-19
      6042.32 4.0029600000E-19
      6052.47 4.1990000000E-19
      6062.62 4.2181800000E-19
      6072.77 4.4975100000E-19
      6082.92 4.4533000000E-19
      6093.07 4.3550700000E-19
      6103.22 4.2068800000E-19
      6113.37 3.8982400000E-19
      6123.52 3.8388200000E-19
      6133.67 3.4112100000E-19
      6143.82 3.0265500000E-19
      6153.97 2.4783200000E-19
      6164.12 2.3257100000E-19
      6174.27 1.9876300000E-19
      6184.42 2.0445400000E-19
      6194.57 1.6510900000E-19
      6204.73 2.0441100000E-19
      6214.88 1.8682300000E-19
      6225.03 1.8731100000E-19
      6235.18 1.9553700000E-19
      6245.33 1.8495500000E-19
      6255.48 2.2187900000E-19
      6265.63 2.1200400000E-19
      6275.78 2.5733900000E-19
      6285.93 3.2375300000E-19
      6296.08 3.9812000000E-19
      6306.23 4.5604200000E-19
      6316.38 4.8362500000E-19
      6326.53 5.6520400000E-19
      6336.68 6.3424200000E-19
      6346.83 6.8372400000E-19
      6356.98 6.6517500000E-19
      6367.13 6.8643100000E-19
      6377.28 6.7228100000E-19
      6387.44 6.8105500000E-19
      6397.59 7.2034900000E-19
      6407.74 7.2917100000E-19
      6417.89 6.9216200000E-19
      6428.04 7.0570600000E-19
      6438.19 7.1879600000E-19
      6448.34 7.2934700000E-19
      6458.49 7.8078500000E-19
      6468.64 7.6862800000E-19
      6478.79 8.2209600000E-19
      6488.94 8.8623000000E-19
      6499.09 1.0247100000E-18
      6509.24 1.2183400000E-18
      6519.39 1.4671000000E-18
      6529.54 1.7259200000E-18
      6539.69 1.7535300000E-18
      6549.84 1.8495200000E-18
      6559.99 1.9639900000E-18
      6570.14 1.5975300000E-18
      6580.29 1.2836800000E-18
      6590.45 1.2096100000E-18
       6600.6 1.2033100000E-18
      6610.75 1.2042100000E-18
       6620.9 1.1216400000E-18
      6631.05 1.0582000000E-18
       6641.2 9.9952100000E-19
      6651.35 9.2516000000E-19
       6661.5 9.4308100000E-19
      6671.65 9.1395000000E-19
       6681.8 8.8814800000E-19
      6691.95 8.7678200000E-19
       6702.1 9.1033500000E-19
      6712.25 8.8807300000E-19
       6722.4 8.2730600000E-19
      6732.55 8.7564200000E-19
       6742.7 9.2884500000E-19
      6752.85 9.4491700000E-19
        6763. 1.0492500000E-18
