#  CREATED =
#  CONTACT = R. Diaz
#  DESCRIPT= Initial delivery of M6 dwarf (Gleise 406) source model (Angst vs FLAM)
#  MAPKEY  = M6 Dwarf
#  FILE_TYP= M6 Dwarf (Gleise 406) Source Model Spectrum (Angstroms vs erg/s/cm^2/A)
#  SYSTEMS = PYETC
#  REASON  = Initial delivery to ETC database
#  HISTORY
#  HISTORY  This file was part of the ETC 18.0 or earlier software. This file is
#  HISTORY  being delivered to CDBS for the purposes of quality control and to
#  HISTORY  address the future needs of ETC 19.0 (PYETC). The origin of the
#  HISOTRY  data is unknown; however, this file has been validated and found to
#  HISTORY  be representative of the spectra for a M6 Dwarf.
#
# wl/angst        synflam
#
      6339.82 2.4734800000E-17
      6343.41 2.5459800000E-17
        6347. 2.6171200000E-17
      6350.58 2.6439200000E-17
      6354.17 2.6455500000E-17
      6357.76 2.5921800000E-17
      6361.35 2.5630200000E-17
      6364.93 2.5629800000E-17
      6368.52 2.5144700000E-17
      6372.11 2.5455000000E-17
      6375.69 2.5506100000E-17
      6379.28 2.5236600000E-17
      6382.87 2.4783500000E-17
      6386.45 2.5044400000E-17
      6390.04 2.5839500000E-17
      6393.63 2.6796100000E-17
      6397.21 2.7723400000E-17
       6400.8 2.9039200000E-17
      6404.39 3.0626500000E-17
      6407.97 1.9473800000E-17
      6411.56 7.0679400000E-18
      6418.74 1.1413200000E-17
      6422.32 2.3444800000E-17
      6425.91 2.9755700000E-17
       6429.5 2.9064200000E-17
      6433.08 2.9506800000E-17
      6436.67 3.0585500000E-17
      6440.26 3.1357300000E-17
      6443.84 3.1941900000E-17
      6447.43 3.2573800000E-17
      6451.02 3.2893700000E-17
       6454.6 3.3113900000E-17
      6458.19 3.3713600000E-17
      6461.78 3.4444200000E-17
      6465.37 3.5462100000E-17
      6468.95 3.6572500000E-17
      6472.54 3.7681600000E-17
      6476.13 3.7692300000E-17
      6479.71 3.7444300000E-17
       6483.3 3.6949200000E-17
      6486.89 3.6409300000E-17
      6490.47 3.6739200000E-17
      6494.06 3.7670600000E-17
      6497.65 3.9168400000E-17
      6501.23 4.0911300000E-17
      6504.82 4.2910200000E-17
      6508.41 4.5190900000E-17
        6512. 4.6837700000E-17
      6515.58 4.8172700000E-17
      6519.17 4.9904100000E-17
      6522.76 5.2071500000E-17
      6526.34 5.4851300000E-17
      6529.93 5.7425600000E-17
      6533.52 5.9216500000E-17
       6537.1 6.0717900000E-17
      6540.69 6.1137900000E-17
      6544.28 6.0942300000E-17
      6547.87 5.9743500000E-17
      6551.45 5.9420100000E-17
      6555.04 6.1385300000E-17
      6558.63 6.5097300000E-17
      6562.21 6.7546900000E-17
       6565.8 6.6816800000E-17
      6569.39 6.2326400000E-17
      6572.97 5.4697800000E-17
      6576.56 4.7796500000E-17
      6580.15 4.3501800000E-17
      6583.73 4.1666300000E-17
      6587.32 4.1007000000E-17
      6590.91 4.0593000000E-17
       6594.5 4.0538800000E-17
      6598.08 4.0187700000E-17
      6601.67 4.0097900000E-17
      6605.26 3.9854100000E-17
      6608.84 3.9677300000E-17
      6612.43 3.9603900000E-17
      6616.02 3.8887100000E-17
       6619.6 3.7844800000E-17
      6623.19 3.6700600000E-17
      6626.78 3.5400200000E-17
      6630.36 3.4234200000E-17
      6633.95 3.3602800000E-17
      6637.54 3.2833000000E-17
      6641.13 3.2292000000E-17
      6644.71 3.1287600000E-17
       6648.3 2.9666900000E-17
      6651.89 2.8856600000E-17
      6655.47 2.7930400000E-17
      6659.06 2.7237700000E-17
      6662.65 2.7708700000E-17
      6666.23 2.8562000000E-17
      6669.82 2.9620100000E-17
      6673.41 2.9971100000E-17
      6676.99 2.9338000000E-17
      6680.58 2.8352600000E-17
      6684.17 2.7096200000E-17
      6687.75 2.6055500000E-17
      6691.34 2.5867700000E-17
      6694.93 2.6111900000E-17
      6698.52 2.6600300000E-17
       6702.1 2.7386100000E-17
      6705.69 2.8151000000E-17
      6709.28 2.7834000000E-17
      6712.86 2.7037200000E-17
      6716.45 2.6212100000E-17
      6720.04 2.4817400000E-17
      6723.62 2.4096200000E-17
      6727.21 2.4206000000E-17
       6730.8 2.4535900000E-17
      6734.38 2.5125500000E-17
      6737.97 2.6396100000E-17
      6741.56 2.6859700000E-17
      6745.15 2.7111800000E-17
      6748.73 2.6768000000E-17
      6752.32 2.6469100000E-17
      6755.91 2.6693100000E-17
      6759.49 2.7287900000E-17
      6763.08 2.8346400000E-17
      6766.67 3.0043700000E-17
      6770.25 3.0957900000E-17
      6773.84 3.1660400000E-17
      6777.43 3.1197700000E-17
      6781.01 3.0191400000E-17
       6784.6 2.9483000000E-17
      6788.19 2.8003100000E-17
      6791.78 2.7559600000E-17
      6795.36 2.8286500000E-17
      6798.95 2.9144600000E-17
      6802.54 2.9709100000E-17
      6806.12 3.0270500000E-17
      6809.71 3.1070400000E-17
       6813.3 3.1389000000E-17
      6816.88 3.1299300000E-17
      6820.47 3.2170500000E-17
      6824.06 3.2533100000E-17
      6827.64 3.3015300000E-17
      6831.23 3.3212600000E-17
      6834.82 3.4072200000E-17
      6838.41 3.4686700000E-17
      6841.99 3.5040500000E-17
      6845.58 3.4566500000E-17
      6849.17 3.4202700000E-17
      6852.75 3.3876800000E-17
      6856.34 3.2908000000E-17
      6859.93 3.2059100000E-17
      6863.51 3.1410700000E-17
       6867.1 3.0058500000E-17
      6870.69 2.9694300000E-17
      6874.27 3.0294600000E-17
      6877.86 3.1177500000E-17
      6881.45 3.2505700000E-17
      6885.04 3.3545000000E-17
      6888.62 3.4272700000E-17
      6892.21 3.4657200000E-17
       6895.8 3.4955900000E-17
      6899.38 3.5886100000E-17
      6902.97 3.6959500000E-17
      6906.56 3.8501100000E-17
      6910.14 4.0069500000E-17
      6913.73 4.1608400000E-17
      6917.32 4.2300700000E-17
       6920.9 4.2488000000E-17
      6924.49 4.3823000000E-17
      6928.08 4.5549200000E-17
      6931.66 4.8329400000E-17
      6935.25 5.1372800000E-17
      6938.84 5.3806200000E-17
      6942.43 5.6668700000E-17
      6946.01 6.0026800000E-17
       6949.6 6.2386500000E-17
      6953.19 6.3773100000E-17
      6956.77 6.3672500000E-17
      6960.36 6.3953300000E-17
      6963.95 6.4895100000E-17
      6967.53 6.6019400000E-17
      6971.12 6.7551900000E-17
      6974.71 6.9311600000E-17
      6978.29 7.1109400000E-17
      6981.88 7.2883300000E-17
      6985.47 7.4360800000E-17
      6989.06 7.4703900000E-17
      6992.64 7.4220800000E-17
      6996.23 7.3830700000E-17
      6999.82 7.5208900000E-17
       7003.4 7.5767300000E-17
      7006.99 7.7554600000E-17
