#  CREATED =
#  CONTACT = R. Diaz
#  DESCRIPT= Initial delivery of a M2 Dwarf (Gleise 411) source model (Angst vs FLAM)
#  MAPKEY  = M2 Dwarf
#  FILE_TYP= M2 Dwarf (Gleise 411) Source Model Spectrum (Angstroms vs erg/s/cm^2/A)
#  SYSTEMS = PYETC
#  REASON  = Initial delivery to ETC database
#  HISTORY
#  HISTORY  This file was part of the ETC 18.0 or earlier software. This file is
#  HISTORY  being delivered to CDBS for the purposes of quality control and to
#  HISTORY  address the future needs of ETC 19.0 (PYETC). The origin of the
#  HISOTRY  data is unknown; however, this file has been validated and found to
#  HISTORY  be representative of the spectra for a M2 Dwarf.
#
# wl/angst        synflam
#
      6636.69 6.3228100000E-15
      6640.28 6.2777200000E-15
      6643.88 6.1991700000E-15
      6647.47 6.0704300000E-15
      6651.06 5.9837400000E-15
      6654.66 5.9628000000E-15
      6658.25 5.9625300000E-15
      6661.84 5.9486000000E-15
      6665.44 5.9638200000E-15
      6669.03 5.9462900000E-15
      6672.62 5.8308100000E-15
      6676.22 5.6902400000E-15
      6679.81 5.5511600000E-15
       6683.4 5.4799100000E-15
        6687. 5.4562400000E-15
      6690.59 5.5048600000E-15
      6694.18 5.5534000000E-15
      6697.78 5.5908700000E-15
      6701.37 5.5398400000E-15
      6704.96 5.4507600000E-15
      6708.56 5.3029200000E-15
      6712.15 5.1179900000E-15
      6715.74 4.9897800000E-15
      6719.34 4.9755200000E-15
      6722.93 4.9744900000E-15
      6726.52 5.0291700000E-15
      6730.12 5.0763600000E-15
      6733.71 5.1164800000E-15
       6737.3 5.1175100000E-15
       6740.9 5.0383300000E-15
      6744.49 5.0234900000E-15
      6748.08 5.0512900000E-15
      6751.68 5.0288200000E-15
      6755.27 5.0628200000E-15
      6758.86 5.1391200000E-15
      6762.46 5.1756200000E-15
      6766.05 5.1690700000E-15
      6769.64 5.1513500000E-15
      6773.24 5.1125100000E-15
      6776.83 4.9966100000E-15
      6780.42 4.8870700000E-15
      6784.02 4.8070200000E-15
      6787.61 4.8030100000E-15
       6791.2 4.8169900000E-15
       6794.8 4.8129800000E-15
      6798.39 4.8638600000E-15
      6801.98 4.8991600000E-15
      6805.58 4.8904900000E-15
      6809.17 4.9112400000E-15
      6812.77 4.8909200000E-15
      6816.36 4.8694200000E-15
      6819.95 4.8893300000E-15
      6823.55 4.9382100000E-15
